,item_name,item_description,item_price,item_image
31,Minipecanbon 9 Epack,pack of 9 mini pecan rolls,102.0,https://images.deliveryhero.io/image/talabat/Menuitems/990FFC2123229B0ED18B755A893939B7?width=172&amp;height=172
32,Mini Hazelnut 9 Epack,pack of 9 mini nutella rolls,104.0,https://images.deliveryhero.io/image/talabat/Menuitems/2CE0EF3F789A854EEA8CC1C4ABAE8AD6?width=172&amp;height=172
33,Mixed Miniroll 9 Epack,pack of 9 mixed mini rolls,88.0,https://images.deliveryhero.io/image/talabat/Menuitems/7884063257FE275F1A047674E87A0571?width=172&amp;height=172
34,Triple Combo 9 Epack,pack of 9 mixed mini rolls,88.0,https://images.deliveryhero.io/image/talabat/Menuitems/E4FF00C11D2FBA85BC9167A49A6CC783?width=172&amp;height=172
35,Cinnabon Classic 4 Epack,pack of 4 classic  rolls,51.0,https://images.deliveryhero.io/image/talabat/Menuitems/E2CD9E1EB034B7D41C3BBBFBF8194F3B?width=172&amp;height=172
36,Chocobon 4 Epack,pack of 4 classic chocolate rolls,58.0,https://images.deliveryhero.io/image/talabat/Menuitems/DC9D6EABB7D067F4FE3B2EDC32923EF3?width=172&amp;height=172
37,Pecanbon 4 Epack,pack of 4 pecan rolls,64.0,https://images.deliveryhero.io/image/talabat/Menuitems/0B770C67D600278496A0AAB702C466AE?width=172&amp;height=172
38,Mixed Classic 4 Epack,pack of 4 mixed rolls,64.0,https://images.deliveryhero.io/image/talabat/Menuitems/4353E650AA2B66CBC79B49D37C9330F8?width=172&amp;height=172
39,Fresh Orange Juice 330ml,,17.0,https://images.deliveryhero.io/image/talabat/Menuitems/0AEBBF61A5BE46A19D9CA872B85B87C9?width=172&amp;height=172
40,Coke,,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/FB9FA1256419115E605B73162B355214?width=172&amp;height=172
41,Fanta,,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/6C2A4ED690F489AD2301FF2AE0C4FBC0?width=172&amp;height=172
42,Sprite,,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/E958282438EDDE2EEECFF540D86F8AFB?width=172&amp;height=172
43,Diet Coke,,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/BC4C4F509343E9A3EBFCB020FCF4D4E0?width=172&amp;height=172
44,Zero Coke,,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/1872B4516D673345AABEE92B3D3AEB96?width=172&amp;height=172
45,Arwa Water,still water,4.0,https://images.deliveryhero.io/image/talabat/Menuitems/FA4BC60DE755CEC9B808E70350D49C9B?width=172&amp;height=172
46,Evian Water,,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/031C95C4942859E387CE84B50C705C2E?width=172&amp;height=172
47,Ferarrele Sparkling Water,,11.0,https://images.deliveryhero.io/image/talabat/Menuitems/9F4E719B5C5590CBB7DBF6A42930B1D4?width=172&amp;height=172
48,Redbull,,19.0,https://images.deliveryhero.io/image/talabat/Menuitems/6144297445479FFC81A64801C05F4B86?width=172&amp;height=172
49,Mochalatta Chill,"coffee, milk& ice",0.0,https://images.deliveryhero.io/image/talabat/Menuitems/FA57C18962AF9C538A6EA7F7E6879E0F?width=172&amp;height=172
50,Strawberry Chilatta,"strawberry puree, milk & ice",0.0,https://images.deliveryhero.io/image/talabat/Menuitems/C013785318747033F087CF6D6E02C59D?width=172&amp;height=172
51,Mango Chilatta,"milk, mango puree & ice",0.0,https://images.deliveryhero.io/image/talabat/Menuitems/64CBF86215A808C3A1035E822D531A0F?width=172&amp;height=172
52,Choco Mocha Chillatta,"milk, chocolate sauce, espresso & ice",0.0,https://images.deliveryhero.io/image/talabat/Menuitems/2CFC738D9F90ED47311DB07C6BE694AD?width=172&amp;height=172
53,Cinnabon Roll Chillatta,"vanilla ice cream, cinnamon roll, vanilla syrup, & ice",0.0,https://images.deliveryhero.io/image/talabat/Menuitems/9B3E3630399B89062252BAE0EA81BFB6?width=172&amp;height=172
54,Cookie & Creams Chillatta,"oreo cookies, vanilla ice cream, ice & vanilla syrup",0.0,https://images.deliveryhero.io/image/talabat/Menuitems/ACA68F904ED89766B0BAD1FCB802CDD0?width=172&amp;height=172
55,Caramel Latte Chillatta,"Espresso shot, milk & Caramel Sauce",0.0,https://images.deliveryhero.io/image/talabat/Menuitems/12DE676A72E12DDEC046430455A42DC3?width=172&amp;height=172
56,Hazelnut Chillatta,"nutella, vanilla icecream & ice",0.0,https://images.deliveryhero.io/image/talabat/Menuitems/FD57CE627157DBF84EFD90FCA2C3AE37?width=172&amp;height=172
57,Americano,black coffee,0.0,https://images.deliveryhero.io/image/talabat/Menuitems/CC7777C920F9C7B85158384C3CD437D7?width=172&amp;height=172
58,Cappuccino,coffee with milk and foam,0.0,https://images.deliveryhero.io/image/talabat/Menuitems/A4C65DB963A691DD3FC291314891A220?width=172&amp;height=172
59,Latte,espresso and milk,0.0,https://images.deliveryhero.io/image/talabat/Menuitems/141FDBD5920F3CA0A9AFAD3ED68F3CBF?width=172&amp;height=172
