,item_name,item_description,item_price,item_image
22,Halloumi & Roast Vegetables (Sandwich),"Freshly baked panuozzo with sundried tomato pesto, oven roast Mediterranean vegetables, sliced halloumi, and homemade basil pesto, oregano",42.0,https://images.deliveryhero.io/image/talabat/Menuitems/A8DDA2FE7C30B012A4CB3AE9F72882DD?width=172&amp;height=172
23,Chipotle Cheesesteak (Sandwich),"Freshly baked panuozzo with grilled beef strips, sautéed onions, peppers, American cheddar sauce and chipotle mayonnaise",46.0,https://images.deliveryhero.io/image/talabat/Menuitems/755432A4F7FB06F59165A16DB80D93AB?width=172&amp;height=172
24,Buffalo Chicken (Sandwich),"Freshly baked panuozzo with buffalo fried chicken, chopped spring onion, fior di latte mozzarella, and buffalo ranch sauce",42.0,https://images.deliveryhero.io/image/talabat/Menuitems/5A17E2C135D72B8CF6DB4B67E98317D5?width=172&amp;height=172
25,Tuna Mayo (Sandwich),"Freshly baked panuozzo with premium Mediterranean tuna, mayonnaise, sweetcorn, and sliced tomato",42.0,https://images.deliveryhero.io/image/talabat/Menuitems/B880E91F161C219A493B952792708C20?width=172&amp;height=172
26,BBQ Honey Mustard (Sandwich),"Freshly baked panuozzo with house slaw, shallow fried chicken escalope, topped with fior di latte mozzarella and swiss cheese, and drizzled with Gino's homemade bbq honey mustard dressing",46.0,https://images.deliveryhero.io/image/talabat/Menuitems/33540ED7A78145E1D766D585AD420D4F?width=172&amp;height=172
27,Classic Reuben (Sandwich),"Freshly baked panuozzo with Russian sauce, sauerkraut, beef pastrami, sliced pickles, American mustard and Swiss cheese - Gino's take on a classic!",46.0,https://images.deliveryhero.io/image/talabat/Menuitems/3F5EE45086D1C759775FC03B364159B4?width=172&amp;height=172
28,The Rebecca,"Slow cooked, homemade pulled BBQ brisket, garlic & herb sauce, sliced pickle and aged smoked cheddar cheese",46.0,https://images.deliveryhero.io/image/talabat/Menuitems/8FEF8ABBC28960A7DD596841654948F0?width=172&amp;height=172
29,Brooklyn Hero (Sandwich),"Freshly baked panuozzo stuffed with Gino's mustard-mayo sauce, american cheddar, smoked turkey, Italian salami and dill pickles",46.0,https://images.deliveryhero.io/image/talabat/Menuitems/5CF2AA4979E814C477A9919190C933F0?width=172&amp;height=172
30,Spaghetti Bolognese,Classic spaghetti pasta with our homemade rich tomato and beef bolognese sauce,52.0,https://images.deliveryhero.io/image/talabat/Menuitems/7D8F50B0EAD900CC895A765478440904?width=172&amp;height=172
31,Gino's Penne Alfredo,Penne pasta with Gino's homemade creamy Alfredo sauce with oven roast chicken and fresh mushroom,52.0,https://images.deliveryhero.io/image/talabat/Menuitems/DD5386E4D07B387A015E55658032FEB3?width=172&amp;height=172
32,Penne Calabrese,"Penne pasta with our homemade creamy, tangy pink sauce with sundried tomato and grilled chicken (mildly spicy)",55.0,https://images.deliveryhero.io/image/talabat/Menuitems/2173239B29966CFBDE52F5497769B2BB?width=172&amp;height=172
33,Mac'n'Cheese,Ginos thick and creamy macaroni and cheddar classic,38.0,https://images.deliveryhero.io/image/talabat/Menuitems/22068B56703C6ED6C1A2C8404C9A1C75?width=172&amp;height=172
34,Gino's Gnocchi,Gino's famous gnocchi with your choice of homemade pesto or truffled cream,52.0,https://images.deliveryhero.io/image/talabat/Menuitems/70813E6DF81EDE30AD2E2952CF111F98?width=172&amp;height=172
