,item_name,item_description,item_price,item_image
25,Lasagna Di Pollo,"Layers of fresh lasagna, filled with Nonna's homemade basil pesto, shredded oven roast chicken breast, classic homemade bechamel sauce and topped with fior di latte mozzarella and parmesan",52.0,https://images.deliveryhero.io/image/talabat/Menuitems/C7F06F65654A37A9B6C4D84C30767129?width=172&amp;height=172
26,Bambino Bolognese,"Our classic Spaghetti with Beef Bolognese, just a bit smaller!",35.0,https://images.deliveryhero.io/image/talabat/Menuitems/2B504405BDE430B0D8E379CBBE9CF8BC?width=172&amp;height=172
27,Bambino Pomodoro,Penne pasta topped with our rich tomato sauce,32.0,https://images.deliveryhero.io/image/talabat/Menuitems/D5A5DAF8349191682CF47EE21EE62915?width=172&amp;height=172
28,Mac'n'Cheese,Nonna's delightfully creamy classic cheddar cheese mac!,35.0,https://images.deliveryhero.io/image/talabat/Menuitems/322548701939102646E36BECC2C537F7?width=172&amp;height=172
29,Chicken Nuggets & Wedges,Crispy chicken nuggets with seasoned potato wedges,28.0,https://images.deliveryhero.io/image/talabat/Menuitems/400D4650E3216F50DFE5D9EB5E38FE5C?width=172&amp;height=172
30,Nonna's Chocolate Fudge Brownie,"Soft, fudgy and chocolatey. Satisfaction guaranteed! Contains Nuts",23.0,https://images.deliveryhero.io/image/talabat/Menuitems/04F9720FABD420922FE8F3F7B7A48CB6?width=172&amp;height=172
31,Nonna's Chocolate Chip Cookie,"Soft, buttery, and stuffed with chocolate. A perfect treat!",23.0,https://images.deliveryhero.io/image/talabat/Menuitems/2C9F577D6987130D51E768F2F9DF4DC7?width=172&amp;height=172
32,Nonna's Banana Caramel Pudding,"Nonna's homemade pudding with caramelised banana, custard cream, and banana caramel sauce",28.0,https://images.deliveryhero.io/image/talabat/Menuitems/63078CC97F69301F807E7297EB9AA756?width=172&amp;height=172
33,Nonna's Toffee Sponge Cake,Homemade toffee sponge with creme anglaise and toffee nut caramel sauce,28.0,https://images.deliveryhero.io/image/talabat/Menuitems/50247AB007CC2DD046B726B32B6A8D4D?width=172&amp;height=172
34,Nonna's Homemade Tiramisu,Classic Tiramisu using Nonna's secret recipe,28.0,https://images.deliveryhero.io/image/talabat/Menuitems/93C5F669B43885FDA2A65130F47D5C4A?width=172&amp;height=172
35,Arwa Water (500ml),,5.0,https://images.deliveryhero.io/image/talabat/Menuitems/F943664D1EBBA57A651C7E5D14957C9E?width=172&amp;height=172
36,Coca Cola (290ml),,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/624CCB9F72CB0DBDC050B15117D7D5CB?width=172&amp;height=172
37,Coke Zero (290ml),,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/33D6880E6AD31DF18973CB4F92A66A57?width=172&amp;height=172
38,Fanta (290ml),,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/B197343E79A166AB2014529DE4E7ED87?width=172&amp;height=172
39,Sprite (290ml),,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/3F8217F095F9B461B9606F64392A444C?width=172&amp;height=172
