,item_name,item_description,item_price,item_image
22,Mad Stacks Sliders,"Choose between 2 or 3 Double Beef Patty Sliders with your Choice of Toppings and Sauce, served on a Toasted Potato  Bun",27.2,https://images.deliveryhero.io/image/talabat/Menuitems/9F5EF7F85658A7F9582CD33B7105BFD6?width=172&amp;height=172
23,Double Beef Cheddar Sliders,"Choose between 2 or 3 Double Beef Sliders with your Choice of Cheese, Toppings and Sauce, served on a Toasted Potato  Bun",28.8,https://images.deliveryhero.io/image/talabat/Menuitems/7D4113AD2564BB1489911ECC8F958F30?width=172&amp;height=172
24,Vegetarian Cheeseburger (vegan),"Vegan Burger with Vegan Cheddar Cheese, Romaine Lettuce, Tomato, Vegan Mayonnaise and Vegan Thousand Island on Toasted Vegan Bun. Made with Sweet Earth",36.0,https://images.deliveryhero.io/image/talabat/Menuitems/5F57E89450C26C8A8C4952B0D79FD271?width=172&amp;height=172
25,Vegetarian Chipotle Burger (vegan),"Vegan Burger with Vegan Cheddar Cheese, Romaine Lettuce, Tomato, Red Onion, Vegan Mayonnaise and Vegan Chipotle Aioli on Toasted Vegan Bun. Made with Sweet Earth",36.0,https://images.deliveryhero.io/image/talabat/Menuitems/759BFA1D2FB028DA2274B3DE93D2C438?width=172&amp;height=172
26,Vegetarian Texas Burger (vegan),"Vegan Burger with Vegan Cheddar Cheese, Crispy Onion Rings, Pickles, Romaine Lettuce, Tomato, Vegan Mayonnaise and BBQ Sauce on Toasted Vegan Bun. Made with Sweet Earth",36.0,https://images.deliveryhero.io/image/talabat/Menuitems/E1DCE683A9B66BEC3DF0538F95602679?width=172&amp;height=172
27,Build your Crispy Chicken Burger,"Build your Crispy Chicken Burger, with your choice of Sauce and Toppings",21.6,https://images.deliveryhero.io/image/talabat/Menuitems/96016960B882CE4A98F81A8D252183E5?width=172&amp;height=172
28,Classic Chicken Burger,"Classic Crispy Chicken Burger with Cheddar Cheese, Romaine Lettuce, Sliced Tomato, Pickles, Mayonnaise and Ketchup, served on a Toasted Potato Bun",21.6,https://images.deliveryhero.io/image/talabat/Menuitems/A7792A71CC0276F65F895A83993AEB3E?width=172&amp;height=172
29,Cheddar & Pickles Chicken Burger,"Crispy Chicken Burger with Cheddar Cheese, Romaine Lettuce, Pickles, Red Onions, Mayonnaise, Ketchup and Mustard. served on a Toasted Potato Bun",21.6,https://images.deliveryhero.io/image/talabat/Menuitems/FFB023C41A1F0F900AC3091B4C093851?width=172&amp;height=172
30,Bacon & Cheddar Chicken Burger,"Crispy Chicken Burger with Beef Bacon Bits, Cheddar Cheese, Pickled Red Onions, Mayonnaise and Thousand Island Sauce, served on a Toasted Potato Bun",23.2,https://images.deliveryhero.io/image/talabat/Menuitems/28F04A899317C2FDE76331D99D7C4DA6?width=172&amp;height=172
31,Build your (2) Crispy Chicken Sliders,"Create your own Crispy Chicken Sliders (2) with your choice of Toppings, Cheese and Sauce",21.6,https://images.deliveryhero.io/image/talabat/Menuitems/633849C2D5D871D6C1173616968FF021?width=172&amp;height=172
32,Classic Chicken Sliders (2),"Two (2) Chicken Sliders with Romaine Lettuce, Tomatoes, Red Onions, Mayonnaise, and Thousand Islands Sauce. Served on a Toasted Potato Bun.",21.6,https://images.deliveryhero.io/image/talabat/Menuitems/3F2F450A091E723711850902AE4A7895?width=172&amp;height=172
33,Cheddar & Onions Chicken Sliders (2),"Two (2) Chicken Sliders with Cheddar Cheese, Pickles, Red Onions, and Mayonnaise. Served on a Toasted Potato Bun.",21.6,https://images.deliveryhero.io/image/talabat/Menuitems/B842089CAFF2FACB3B8CD1184F51C3E4?width=172&amp;height=172
34,Classic Hot Dog,Beef Hot Dog with Ketchup,20.0,https://images.deliveryhero.io/image/talabat/Menuitems/6EB0FA3F0621B46899559135D82C889B?width=172&amp;height=172
35,Cheesy Dog,"Beef Hot Dog with Chili Cheddar Cheese, Roasted Peppers and Onions",22.4,https://images.deliveryhero.io/image/talabat/Menuitems/66D8E37C8E4DC7CB19582F2F21582232?width=172&amp;height=172
36,Ground Beef Dog,"Beef Hot Dog with Ground Beef, Green Onions and Crunchy Onions",22.4,https://images.deliveryhero.io/image/talabat/Menuitems/82A37BF9344582DA82F8E591D5BF5EE8?width=172&amp;height=172
37,French Fries,French Fries with your choice of Dipping Sauce,10.0,https://images.deliveryhero.io/image/talabat/Menuitems/33704C42703F302F9482BBAD6D5428A6?width=172&amp;height=172
38,Truffle Fries,Truffle Fries,19.0,https://images.deliveryhero.io/image/talabat/Menuitems/2A13B734AD8ED8DB46A0FA93893B08EE?width=172&amp;height=172
39,Onion Rings,Onion rings served with a choice of dipping sauce,16.0,https://images.deliveryhero.io/image/talabat/Menuitems/2B80CF6EB102AB010E396470B4144C8C?width=172&amp;height=172
40,Sweet Potato Fries,Sweet Potato Fries with your choice of Dipping Sauce,16.0,https://images.deliveryhero.io/image/talabat/Menuitems/801BC7B9E8042D9E1734DB7BD7AC0B92?width=172&amp;height=172
