item_name,item_description,item_price,item_image
Ground Beef & Cheddar Burrito,"Mexican burrito with ground beef, cheddar cheese, black beans, guacamole, and BBQ sauce. Served with rice in a flour tortilla.",20.3,https://images.deliveryhero.io/image/talabat/Menuitems/76F5447DA66655F295EECBCF29E1D9B1?width=172&amp;height=172
Shredded Chicken & Guacamole Burrito,"Mexican burrito with shredded chicken, cheddar cheese, guacamole, and roasted tomato salsa. Served with rice in a flour tortilla.",20.3,https://images.deliveryhero.io/image/talabat/Menuitems/798CB77CEB739A80F5A265D3F78380C6?width=172&amp;height=172
Build your own Hot Dog,Build your own beef or chicken hot dog with your choice of toppings and Sauce,14.0,https://images.deliveryhero.io/image/talabat/Menuitems/CB8FEE5CE46324BA3789810A34DAA612?width=172&amp;height=172
Classic Dog,Beef or Chicken hot dog with mustard. Served on a toasted potato bun.,14.0,https://images.deliveryhero.io/image/talabat/Menuitems/99168CBD868E47702BDD90B421E7039C?width=172&amp;height=172
Cheddar Dog,"Beef or Chicken hot dog with cheddar cheese, pickles, and mustard. Served on a toasted potato bun.",15.4,https://images.deliveryhero.io/image/talabat/Menuitems/47A4EFFFCC9A3FBBCD5652FA92469CE8?width=172&amp;height=172
Great Dane,"Beef or Chicken hot dog with cheese sauce, pickles, crunchy onions, and mustard. Served on a toasted potato bun.",16.8,https://images.deliveryhero.io/image/talabat/Menuitems/A773975283302A35E8623B95630FBD14?width=172&amp;height=172
French Fries,French Fries with your choice of Dipping Sauce,10.0,https://images.deliveryhero.io/image/talabat/Menuitems/C1ADA697B81A382B087CFD6D90659E12?width=172&amp;height=172
Onion Rings,Onion rings served with a choice of dipping sauce,14.0,https://images.deliveryhero.io/image/talabat/Menuitems/16144E94167C8672FE3F5759B1C0CB80?width=172&amp;height=172
Sweet Potato Fries,Sweet Potato Fries with your choice of Dipping Sauce,16.0,https://images.deliveryhero.io/image/talabat/Menuitems/EC9B7DF976A22480146895F8F241DEA5?width=172&amp;height=172
Mozzarella Sticks,"Five (5) mozzarella sticks, served with homemade herb marinara sauce",24.0,https://images.deliveryhero.io/image/talabat/Menuitems/D3F6074ACD6D7F3D233667CCE277386D?width=172&amp;height=172
Popcorn Chicken ,"Fifteen (15) Popcorn chicken bites , served with your choice of dipping sauce	",20.0,https://images.deliveryhero.io/image/talabat/Menuitems/3889DD408DE26DB2BF368363D093C7C1?width=172&amp;height=172
Twelve (12) Chicken Nuggets,"Twelve (12) Nuggets, served with your choice of dipping sauce",26.0,https://images.deliveryhero.io/image/talabat/Menuitems/70D2428F49CAB337F3946A0BAB3208CC?width=172&amp;height=172
Six (6) Chicken Nuggets,"Six (6) Nuggets, served with your choice of dipping sauce",18.0,https://images.deliveryhero.io/image/talabat/Menuitems/471643CBFBD1FEEDC851E91D691302FA?width=172&amp;height=172
Truffle Fries,Truffle Fries,19.0,https://images.deliveryhero.io/image/talabat/Menuitems/67A2E1C57EB4F02E4261109842118BD9?width=172&amp;height=172
Chocolate Brownie,Chocolate Brownie,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/61291A8E3D134FC905F1A36731058693?width=172&amp;height=172
Chocolate Chip Cookie,Chocolate Chip Cookie,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/0E370806635A0B1DB1ACC3C1DD5C9CBC?width=172&amp;height=172
Triple Chocolate Cookie,Triple Chocolate Cookie,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/B15C0B9A9C764EF85ECBFAF8359F9DED?width=172&amp;height=172
Oatmeal Raisin Cookie,Oatmeal Raisin Cookie,8.0,https://images.deliveryhero.io/image/talabat/Menuitems/F0894409500A8A4CBBFDF5A6AECFE41B?width=172&amp;height=172
Coca Cola,Coca Cola,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/F66601CB5DF9CB7C53ACBBAF1EFE6698?width=172&amp;height=172
Diet Coke,Diet Coke,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/FF03FCAD7A692934D6E5B052745B0E8A?width=172&amp;height=172
Fanta Orange,Fanta Orange,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/D7B4F42B67FF21D69DFD6736BB5023A2?width=172&amp;height=172
Sprite,Sprite,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/EBEED91A359D4B778A52784E58DD6662?width=172&amp;height=172
Soda Water,Soda Water,8.0,https://images.deliveryhero.io/image/talabat/Menuitems/B2D01C0ED8109975AB6790CFF23B3FEB?width=172&amp;height=172
Still Water,Still Water,6.0,https://images.deliveryhero.io/image/talabat/Menuitems/736483C5778A14BF2524FF0D5C08C22D?width=172&amp;height=172
Apple Juice,Cool Sun 100% Apple Juice,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/ECCF4DC17F1F28EDBD4D6F32124A096B?width=172&amp;height=172
Mango & Apple Juice,Cool Sun 100% Mango & Apple Juice,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/3E09FE9A99FC31C335080A56951D453A?width=172&amp;height=172
Mixed Fruit Juice,Cool Sun 100% Mixed Fruit Juice,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/D2F9CFD9259373092D86393E93761B78?width=172&amp;height=172
Strawberry & Apple Juice,Cool Sun 100% Strawberry & Apple Juice,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/C52E78371080E93D715EA69E466DDE3C?width=172&amp;height=172
