item_name,item_description,item_price,item_image
Peach Iced Tea,A refreshing Homemade iced tea infused with peach flavour that will refresh your day.,14.0,https://images.deliveryhero.io/image/talabat/Menuitems/21E0B512144CCD8B2BEDE1D58A16F1DE?width=172&amp;height=172
Lemon Iced Tea,A refreshing Lemon Iced tea that will cool your day.,14.0,https://images.deliveryhero.io/image/talabat/Menuitems/948A9016351305C8A0A65ACFA566C3DE?width=172&amp;height=172
Raspberry Ice tea,Raspberry flavored iced tea with a piece of fresh raspberry and poured over ice. Available in large size only,14.0,https://images.deliveryhero.io/image/talabat/Menuitems/E18A43F048501D98E9EA61B0A55C537F?width=172&amp;height=172
Raspberry Lime,"A refreshing drink of Raspberry accompanied with Lime flavor, and garnished with Raspberry that will give you fresh moments",14.0,https://images.deliveryhero.io/image/talabat/Menuitems/AA913675EADBFA7DF84AD965A6E46FB5?width=172&amp;height=172
Strawberry Mojito,"A refreshing drink mix with lemon, lime and mint, infuse with strawberry flavour then top with soda and garnish with lime wheel and mint sprig that will satisfy your day.",14.0,https://images.deliveryhero.io/image/talabat/Menuitems/7139B227A29C540B5D4A56A859701D02?width=172&amp;height=172
Butter Cheese Croissant,Butter plain croissant filled with cheese.,10.0,https://images.deliveryhero.io/image/talabat/Menuitems/3C1995A50A6467AA17C6A927D3E40750?width=172&amp;height=172
Butter Croissant,Butter plain croissant.,8.0,https://images.deliveryhero.io/image/talabat/Menuitems/9CA54B692C2C8487F71610F02E933A68?width=172&amp;height=172
Blueberry Muffin,Vanilla muffin with blueberries.,12.0,https://images.deliveryhero.io/image/talabat/Menuitems/2F18131FE1123F6164D0449A47AADF4E?width=172&amp;height=172
Double Belgian Chocolate Muffin,Chocolate muffin with Belgian chocolate and ganache fudge.,12.0,https://images.deliveryhero.io/image/talabat/Menuitems/50E7812F2563D5EF343C7406230BB9EA?width=172&amp;height=172
Chocolate Chip Muffin,Chocolate muffin with Hershey's chocolate chips.,12.0,https://images.deliveryhero.io/image/talabat/Menuitems/6C52AC548AA38F97259EB19518ED480F?width=172&amp;height=172
Hot Chocolate,"Premium rich, dark chocolate melted in creamy milk",17.0,https://images.deliveryhero.io/image/talabat/Menuitems/D6E59CE7229B7F10C2EAF15FFCAED742?width=172&amp;height=172
Green Tea,Green tea with hot water.,11.0,https://images.deliveryhero.io/image/talabat/Menuitems/5D60769C1AC8702C54C7C2109FAFAD06?width=172&amp;height=172
English Breakfast Tea,With or without milk.,11.0,https://images.deliveryhero.io/image/talabat/Menuitems/9C4306961D490BFF6743FF334FAC7F72?width=172&amp;height=172
Fiji Mineral Water 500 ML,,8.0,https://images.deliveryhero.io/image/talabat/Menuitems/317CFD0983ACADE1F067406098DC7D84?width=172&amp;height=172
Red Bull Regular Energy Drink 250 ML,,12.0,https://images.deliveryhero.io/image/talabat/Menuitems/E01F407AAF307825D4AAE66153957BD5?width=172&amp;height=172
