item_name,item_description,item_price,item_image
Gino's Meal for One,"Choice of Panuozzo, Fries, and Soft Drink - AED 49",49.0,https://images.deliveryhero.io/image/talabat/Menuitems/CC6481BAD3E6ABE7D58A6EAE9E640209?width=172&amp;height=172
Gino's Meal for 2,"Choice of any 2 Panuozzo, 2 Fries, and 2 Soft Drink - AED 109",109.0,https://images.deliveryhero.io/image/talabat/Menuitems/9A1C3DABCBF45982973C027566B7B190?width=172&amp;height=172
Family Meal (Serves 4),"Any 4 Panuozzo or Pasta, 4 Appetisers, 4 Soft Drink - AED 199",199.0,https://images.deliveryhero.io/image/talabat/Menuitems/C463E70A095207970DD5E366569D1B40?width=172&amp;height=172
Appetizer Share Box,Choice of any 3 appetizers - perfect for sharing!,64.0,https://images.deliveryhero.io/image/talabat/Menuitems/F0654DC3B495D9A613D780AEF9AC48F0?width=172&amp;height=172
Any 3 Panuozzo,"Choice of any 3 of our famous, authentic, fresh baked panuozzo!",99.0,https://images.deliveryhero.io/image/talabat/Menuitems/C8CC30C0F8060FFD81AA1998990C41F0?width=172&amp;height=172
Ginos Chicken Strips,"Juicy, tender, succulent chicken strips. Served with a choice of house made dips",32.0,https://images.deliveryhero.io/image/talabat/Menuitems/3C36F848D5A988C2579FB2F99E4F7D32?width=172&amp;height=172
Sweet Potato Fries,"Sweet and crispy fries, served with a choice of house-made dips",24.0,https://images.deliveryhero.io/image/talabat/Menuitems/908DA5F5D675E31F0E8E9C79A8AC2EFA?width=172&amp;height=172
Ginos Potato Wedges,"Crispy fried potato wedges, lightly seasoned. Served with a choice of house-made dips",24.0,https://images.deliveryhero.io/image/talabat/Menuitems/8C154381797BF65ED72EDEDC0C426367?width=172&amp;height=172
Mozzarella Balls,"Mini breaded mozzarella bites, served with a choice of house-made dip",29.0,https://images.deliveryhero.io/image/talabat/Menuitems/56097A6D37B91BE245F9C6EB2D457157?width=172&amp;height=172
Garlic Bread & Mozzarella,Oven baked ciabatta with homemade roast garlic oil and fresh fior di latte mozzarella,23.0,https://images.deliveryhero.io/image/talabat/Menuitems/92DABDD5173E59E191AF7CECA17C4BF4?width=172&amp;height=172
Gino's Chicken Wings (6),"Premium, thick, juicy wings smothered in your choice of Smoky BBQ sauce or tangy Buffalo. Served with a Blue cheese dip (6 wings)",32.0,https://images.deliveryhero.io/image/talabat/Menuitems/43B2FDC1F453570D84665736D12B94A2?width=172&amp;height=172
Arancini,"Italian rice balls stuffed with tomato and mozzarella, and shallow fried. Served with a choice of house-made dip",29.0,https://images.deliveryhero.io/image/talabat/Menuitems/050AC3A2138F4FAC58E26029134708DE?width=172&amp;height=172
Quinoa Greco Salad,"White quinoa, authentic Greek feta, Kalamata olives, pine nuts, cherry tomato, fresh rocket, Italian lime dressing",43.0,https://images.deliveryhero.io/image/talabat/Menuitems/C156DC3970B471C385A8D89CFFFD9717?width=172&amp;height=172
Italian Chicken Pasta Salad,"Served cold Pasta salad with fusili, roast chicken, sweetcorn, kalamata olives, sundried tomato, fresh rocket, grated parmesan and pesto dressing",43.0,https://images.deliveryhero.io/image/talabat/Menuitems/FC140F329CA167429DFAFD5516B0AE88?width=172&amp;height=172
Ginos Chicken Caesar Salad,"Fresh Romaine lettuce with a creamy Caesar dressing, crispy garlic croutons, powdered parmesan cheese and grilled chicken breast",43.0,https://images.deliveryhero.io/image/talabat/Menuitems/CE68AC3F81885727D6D7449875A309D1?width=172&amp;height=172
Tomato & Mozzarella (Sandwich),"Freshly baked panuozzo with sliced tomato, fresh thick cut buffalo mozzarella, homemade pesto, fresh basil",44.0,https://images.deliveryhero.io/image/talabat/Menuitems/F763E7530B47C58F1179ED822E9B1A9E?width=172&amp;height=172
Salami Melt (Sandwich),"Freshly baked panuozzo with Italian tomato sauce, fresh ricotta, fior di latte mozzarella, fresh rocket, Italian salami, oregano",42.0,https://images.deliveryhero.io/image/talabat/Menuitems/F5161359F64EDB26967FE9A2091CB422?width=172&amp;height=172
Fire Chicken BBQ (Sandwich),"Freshly baked panuozzo with crispy fried chicken, homemade caramelized onion, smoky bbq sauce, jalapenos and fior di latte mozzarella",42.0,https://images.deliveryhero.io/image/talabat/Menuitems/88580B351011BAB812C2B4473617D7B3?width=172&amp;height=172
Chicken Pesto Mozzarella (Sandwich),"Freshly baked panuozzo with creamy pesto sauce, oven roast shredded chicken, fior di latte mozzarella, and sundried tomatoes",44.0,https://images.deliveryhero.io/image/talabat/Menuitems/A05EC61796D02C5AAFA25763A5A438FC?width=172&amp;height=172
Italian Meatball (Sandwich),"Fresh baked panuozzo oozing with Gino's homemade Italian meatballs in a rich tomato ragu, topped with fior di latte mozzarella, parmesan, and a sprinkling of oregano. Mamma Mia!",44.0,https://images.deliveryhero.io/image/talabat/Menuitems/22A6BBCAC409B9837298EEC8E070A686?width=172&amp;height=172
Bresaola & Rocket (Sandwich),"Freshly baked panuozzo with Italian tomato sauce, fresh ricotta, premium sliced beef bresaola, fior di latte mozzarella and fresh rocket",42.0,https://images.deliveryhero.io/image/talabat/Menuitems/DC5E06BB9F12BA7F2D83BC9E96E46594?width=172&amp;height=172
Butter Chicken & Burrata (Sandwich),Freshly baked panuozzo with Gino's butter chicken and creamy burrata,44.0,https://images.deliveryhero.io/image/talabat/Menuitems/31C25A77D73300C73C406CF9750E85C4?width=172&amp;height=172
Halloumi & Roast Vegetables (Sandwich),"Freshly baked panuozzo with sundried tomato pesto, oven roast Mediterranean vegetables, sliced halloumi, and homemade basil pesto, oregano",42.0,https://images.deliveryhero.io/image/talabat/Menuitems/0666F4440E5BFA705092F637B74D6F72?width=172&amp;height=172
Chipotle Cheesesteak (Sandwich),"Freshly baked panuozzo with grilled beef strips, sautéed onions, peppers, American cheddar sauce and chipotle mayonnaise",46.0,https://images.deliveryhero.io/image/talabat/Menuitems/9BEF51DCBF9BC2C7CCA882006F08D43F?width=172&amp;height=172
Buffalo Chicken (Sandwich),"Freshly baked panuozzo with buffalo fried chicken, chopped spring onion, fior di latte mozzarella, and buffalo ranch sauce",42.0,https://images.deliveryhero.io/image/talabat/Menuitems/C3F753B3879BA9F4E8EE69EEE2D35336?width=172&amp;height=172
Tuna Mayo (Sandwich),"Freshly baked panuozzo with premium Mediterranean tuna, mayonnaise, sweetcorn, and sliced tomato",42.0,https://images.deliveryhero.io/image/talabat/Menuitems/48DA9601CD456F4C3EBF86125E4A9DD7?width=172&amp;height=172
